orf_id,Essential,upstream_size,downstream_size,paralagous_count,PI,CAI,ASP,GLN,GLU,LYS,MET,FOP_score,Gravy_score,aromaticity_score
YDR018C,N,302,402,1,10.37,139,13,17,16,33,9,447,-0.064141,0.136364
YDR020C,N,359,380,0,4.65,137,22,9,16,15,6,449,-0.447414,0.073276
YDR021W,Y,359,68,9,9.68,166,29,24,20,39,13,0.47,-0.250627,0.072682
YDR022C,N,845,68,0,3.87,137,25,8,18,9,4,417,-0.672449,0.061224
YDR023W,Y,845,618,1,5.98,392,24,21,51,50,6,664,-0.652814,0.101732
YDR025W,N,618,231,1,11.55,705,2,6,4,20,2,882,-0.457051,0.096154
YDR026C,N,380,231,0,10.07,155,42,14,48,66,16,455,-0.996491,0.07193
YDR027C,N,516,380,0,6.3,116,57,35,65,62,18,399,-0.454668,0.07649
YDR028C,N,873,516,0,4.76,146,102,35,67,69,16,423,-1.10819,0.057199
YDR030C,N,224,873,0,6.89,123,36,25,30,33,15,0.42,-0.683202,0.090909
YDR031W,N,224,246,0,5.38,136,9,5,11,12,5,414,-0.524793,0.033058
YDR032C,N,3451,246,2,5.61,367,7,5,13,10,3,707,-0.031818,0.106061
YDR033W,N,3451,627,2,9.85,508,11,7,7,23,10,764,0.25125,0.15625
YDR034C,N,8406,627,0,6.92,0.13,51,28,45,63,15,417,-0.543924,0.083544
YDR035W,N,346,282,1,7.35,287,28,12,25,33,8,599,-0.473784,0.059459
YDR036C,N,726,282,0,8.4,203,21,20,31,36,15,0.53,-0.3176,94
YDR037W,Y,726,206,1,6.04,422,41,26,55,48,20,684,-0.601692,0.087986
YDR042C,N,1471,186,0,10.83,111,5,11,7,16,3,407,-0.2205,135
YDR043C,N,3272,1471,1,9.01,106,10,13,15,17,4,376,-1.02554,0.08658
YDR045C,Y,451,349,0,4.7,144,8,4,7,6,3,438,-0.497273,0.118182
YDR046C,N,1283,451,16,8.17,156,20,13,29,28,21,496,0.227483,0.13245
YDR047W,Y,1283,305,0,7.06,0.16,20,16,26,24,14,494,-0.179834,0.107735
YDR049W,N,305,573,0,9.64,144,36,33,57,68,15,464,-0.857595,0.068038
YDR050C,Y,583,573,0,5.86,817,15,7,17,21,1,893,-0.105242,0.080645
YDR051C,N,450,583,0,7.34,161,23,10,27,19,7,477,-0.742814,0.10479
YDR052C,Y,814,450,0,10.11,137,42,28,50,77,10,429,-0.873011,0.071023
YDR054C,Y,1199,814,0,3.97,189,48,11,25,15,8,482,-0.963729,0.091525
YDR055W,N,1199,161,3,9.91,267,17,14,8,33,4,613,0.074324,0.04955
YDR056C,N,286,161,0,4.56,152,18,10,14,20,5,439,-0.329756,0.078049
YDR057W,N,286,167,0,4.33,117,37,20,50,27,13,412,-0.376199,0.083026
YDR058C,N,530,167,0,8.41,136,24,7,13,32,8,0.42,-0.322699,0.113497
YDR059C,N,877,530,6,6.76,186,12,3,4,13,2,483,-0.285135,0.101351
YDR060W,Y,877,437,0,4.72,0.2,96,45,97,108,11,498,-0.807024,0.08
YDR062W,Y,690,504,2,8.05,217,33,17,29,33,14,0.53,-0.16738,0.096257
YDR063W,N,504,345,0,4.3,156,10,4,21,12,4,469,-0.498658,0.073826
YDR064W,Y,345,234,0,11.24,776,4,3,7,13,3,897,-0.294702,0.072848
YDR065W,N,234,123,0,10.64,135,9,17,23,52,6,429,-0.559726,0.106849
YDR066C,N,292,123,1,4.78,86,10,8,17,9,8,0.33,-0.146939,0.096939
YDR067C,N,247,292,0,9.53,129,11,3,15,21,5,433,-0.282143,0.089286
YDR068W,N,247,293,0,4.3,181,38,9,46,40,4,462,-1.22839,0.070968
YDR069C,N,378,293,3,8.14,154,49,42,43,73,18,451,-0.42527,0.087473
YDR071C,N,358,447,0,5.71,244,5,7,23,16,5,595,-0.257068,0.068063
YDR072C,N,1093,358,1,7.92,135,25,13,16,24,11,448,0.146679,0.16888
YDR073W,N,1093,944,0,8.43,66,3,17,6,4,2,325,-0.381657,0.035503
YDR074W,N,944,572,2,8.19,236,59,45,53,74,18,0.55,-0.516406,0.097098
YDR075W,N,572,385,5,4.77,133,24,10,22,14,8,436,-0.196753,0.107143
YDR076W,N,385,1104,0,6.77,0.11,24,16,29,27,7,404,-0.355911,0.08867
YDR078C,N,194,388,0,4.6,123,22,3,17,15,3,373,-0.085202,0.125561
YDR080W,N,196,317,0,4.61,152,95,30,70,75,17,0.43,-0.384173,0.092742
YDR081C,Y,359,317,0,6.4,0.13,50,36,52,60,19,404,-0.587892,0.077838
YDR082W,Y,359,147,0,5.46,121,30,29,36,35,12,409,-0.352227,0.111336
YDR083W,N,147,179,0,9.99,194,20,17,43,54,9,497,-0.891645,0.083551
YDR084C,N,283,179,0,8.88,119,9,9,3,8,4,428,0.179397,0.175879
YDR085C,N,777,283,0,9.23,131,45,17,42,56,14,0.42,-0.950968,0.080645
YDR086C,Y,299,777,0,10.26,441,1,3,8,11,1,747,0.00875,75
YDR087C,Y,190,299,0,5.03,157,23,9,31,29,4,457,-0.795324,0.118705
YDR088C,Y,2466,190,0,9.54,159,33,17,37,50,8,439,-1.4212,0.062827
YDR089W,N,2466,344,0,5.24,131,62,32,54,54,12,419,-0.281358,0.080552
YDR090C,N,709,344,0,5.74,155,18,9,11,14,10,486,0.411613,0.122581
YDR091C,Y,1341,709,0,8.82,369,37,28,35,51,10,0.64,-0.197369,0.075658
YDR092W,N,1341,676,4,5.15,128,11,5,13,13,2,432,-0.529412,0.078431
YDR093W,N,676,1018,4,6.07,153,107,51,106,99,30,464,-0.321464,0.097395
YDR096W,N,1018,285,2,7.49,149,40,37,39,49,19,448,-0.735123,0.077181
YDR097C,N,340,285,3,5.63,152,93,46,90,107,38,447,-0.540258,0.082126
YDR098C,N,8571,340,1,4.37,177,16,15,32,15,5,0.5,-0.471579,0.108772
YDR099W,N,8571,584,1,4.65,385,14,28,31,17,5,658,-0.792308,0.069597
YDR100W,N,584,241,0,4.17,136,9,2,3,3,3,464,0.861538,0.167832
YDR101C,N,882,241,0,7.17,238,31,27,34,40,9,561,-0.23086,0.055649
YDR103W,N,882,69,0,5.19,135,63,28,56,50,10,0.43,-0.422901,0.073064
YDR104C,N,438,69,0,9.89,126,70,46,86,100,19,426,-0.647149,0.099598
YDR105C,N,233,438,0,5.23,108,17,14,16,13,13,418,0.376956,0.12685
YDR107C,N,234,1157,2,7.46,129,27,15,28,33,14,432,0.296726,0.151786
YDR108W,N,234,154,0,6.38,127,44,24,46,49,21,407,-0.350716,0.103152
YDR109C,N,434,154,1,6.75,119,35,28,50,45,18,433,-0.286993,0.078322
YDR110W,N,434,438,0,6.12,129,40,22,49,45,12,399,-0.757421,0.09364
YDR111C,N,731,438,1,5.61,158,29,26,37,32,9,499,-0.300592,0.084813
YDR113C,Y,557,731,0,4.69,131,33,24,35,35,4,415,-1.07131,0.042895
YDR117C,N,238,364,0,9.65,176,30,20,40,69,10,491,-0.418053,0.083186
YDR118W,Y,238,386,0,5.64,114,52,19,39,48,6,381,-0.248466,0.113497
YDR119W,N,386,1015,0,8.23,123,30,28,31,43,21,427,0.185547,0.102865
YDR120C,N,323,1015,0,9.79,155,23,15,39,54,13,469,-0.535965,0.082456
YDR121W,N,323,524,0,4.71,125,19,15,21,21,2,425,-0.882653,0.035714
YDR122W,N,524,659,14,9.36,127,50,54,79,81,34,433,-0.703665,0.066729
YDR123C,N,846,659,0,6.23,123,19,15,20,13,9,439,-0.736513,0.046053
YDR124W,N,846,107,0,8.05,92,22,12,25,35,10,344,-0.426852,0.08642
YDR125C,N,475,107,1,10.36,129,14,12,27,40,18,437,-0.404857,0.125828
YDR126W,N,475,239,0,7.33,108,17,9,13,18,6,396,0.177381,0.14881
YDR127W,N,239,298,0,6.23,217,81,44,110,112,31,534,-0.1216,0.077456
YDR128W,N,298,344,0,5.8,117,84,35,72,73,15,396,-0.58824,0.106272
YDR129C,N,367,344,0,5.22,234,46,26,46,41,7,548,-0.280841,0.066978
YDR130C,N,167,367,0,10.6,88,14,15,21,32,8,378,-0.868041,0.034364
YDR131C,N,355,167,1,7.06,132,33,15,34,43,11,403,-0.272662,0.133094
YDR132C,N,2700,355,1,7.36,132,33,15,30,43,8,426,-0.438788,0.119192
YDR135C,N,707,2700,8,8.49,149,65,56,78,88,34,459,0.064158,0.10231
YDR137W,N,707,327,0,5.68,112,39,24,55,56,14,394,-0.464857,0.084465
YDR138W,N,327,781,0,5.03,157,48,25,76,65,14,456,-0.722872,0.107713
YDR139C,N,213,781,0,6.26,111,4,5,8,8,2,453,-0.197403,0.025974
YDR140W,N,213,97,0,4.81,123,16,8,15,16,3,407,-0.10362,0.090498
YDR141C,Y,475,97,0,5.49,127,94,45,125,115,27,423,-0.06702,0.096584
YDR142C,N,441,475,0,8.34,112,19,13,14,19,7,384,-0.276533,0.117333
YDR143C,N,436,441,0,4.93,154,35,31,36,14,3,479,-1.02639,0.044262
YDR144C,N,636,436,4,4.4,145,39,17,23,28,12,452,-0.15906,0.100671
YDR145W,Y,636,255,0,10.36,115,18,76,33,39,9,435,-1.10742,0.046382
YDR146C,N,888,255,1,9.11,143,38,34,48,57,14,459,-0.908745,0.062059
YDR147W,N,888,439,1,5.69,134,42,17,34,45,12,396,-0.487828,0.104869
YDR150W,N,561,303,0,5.18,163,170,83,306,286,53,0.45,-0.705604,0.065502
YDR151C,N,550,303,1,8.83,122,15,9,18,30,3,404,-0.812308,0.083077
YDR152W,N,550,232,0,4.33,182,21,16,44,25,7,512,-0.891321,0.075472
YDR153C,N,540,232,0,6.44,0.16,42,25,25,36,5,457,-1.01168,0.068127
YDR155C,N,524,540,2,7.51,614,10,4,7,12,3,829,-0.23642,0.111111
YDR156W,N,524,418,0,4.93,152,9,7,7,8,3,0.5,-0.383212,0.036496
YDR158W,N,418,422,0,6.7,431,21,11,24,27,4,0.73,-0.043562,0.054795
YDR159W,N,422,380,0,9.54,141,68,71,88,117,26,432,-0.653882,0.082244
YDR160W,Y,380,321,1,9.39,112,38,27,37,41,20,411,-0.043427,0.126761
YDR161W,N,321,183,0,4.1,122,20,22,48,25,10,428,-0.268734,0.069767
YDR162C,N,322,183,0,3.84,0.11,27,8,28,12,5,0.38,-0.841525,0.080508
YDR163W,N,322,90,0,9.79,88,7,9,21,20,3,345,-1.28343,0.045714
YDR164C,Y,655,90,0,7.3,159,46,31,50,57,8,471,-0.427486,0.096685
YDR165W,N,655,100,0,6.7,192,33,17,26,42,3,477,-0.435586,0.099099
YDR166C,Y,227,100,0,5.66,0.16,51,57,67,72,14,464,-0.408445,0.096807
YDR167W,Y,227,258,0,4.28,96,22,17,15,12,4,371,-0.754369,0.072816
YDR168W,Y,258,499,0,4.78,201,47,23,55,62,19,474,-0.751383,0.067194
YDR169C,N,684,499,0,7.53,108,25,23,34,34,8,0.39,-0.805848,0.040936
YDR170C,Y,4398,1469,0,4.51,193,152,85,175,116,39,508,-0.422698,0.076157
YDR171W,N,4398,575,0,4.84,182,23,20,43,25,4,523,-1.12667,88
YDR172W,Y,575,183,1,7,315,30,53,57,66,19,0.63,-0.797226,0.080292
YDR173C,N,477,183,0,4.41,111,43,9,28,28,9,0.36,-0.641127,0.084507
YDR174W,N,477,342,0,9.29,314,17,8,23,34,1,638,-0.928862,0.056911
YDR176W,N,299,317,0,4.84,133,65,37,60,70,11,424,-1.00755,0.054131
YDR177W,Y,317,424,0,4.97,158,16,8,18,16,4,464,-0.461395,0.074419
YDR178W,N,424,212,1,9.59,194,6,3,9,13,10,524,-0.037017,0.121547
YDR179C,N,820,212,0,4.88,109,9,7,22,16,5,355,-0.584568,0.092593
YDR179W-A,N,820,470,0,8.63,132,26,15,19,33,10,397,-0.169546,0.114471
YDR180W,Y,470,133,0,6.82,141,95,44,93,124,27,429,-0.129873,0.086403
YDR181C,N,226,133,0,10.23,132,23,17,46,54,15,441,-0.847817,0.043659
YDR182W,Y,226,93,0,10.28,0.12,28,22,17,35,13,388,-0.474949,0.130346
YDR183W,N,230,351,0,4.89,126,22,8,22,18,3,392,-0.738261,0.078261
YDR184C,N,420,351,0,6.14,156,29,14,17,31,8,0.43,-0.791156,0.034014
YDR185C,N,385,420,1,10.3,116,9,3,10,16,6,417,-0.503352,0.111732
YDR186C,N,928,385,0,5.07,133,72,34,44,56,17,452,-0.818358,0.074116
YDR188W,Y,928,330,7,5.65,177,42,20,33,39,13,556,-0.167582,0.051282
YDR189W,Y,330,211,1,4.94,188,46,23,42,51,11,518,-0.331081,0.078078
YDR190C,Y,341,211,1,5.7,0.19,22,12,43,34,8,521,-0.123758,0.041037
YDR191W,N,341,119,1,9.8,123,22,12,17,29,9,404,-0.372703,0.07027
YDR192C,N,1090,119,0,10.73,92,5,17,5,15,8,384,-0.407442,0.088372
YDR195W,N,375,73,0,10.43,149,37,18,24,73,11,444,-0.706942,0.054409
YDR196C,Y,228,73,0,8.83,121,12,11,16,18,8,418,-0.194606,0.074689
YDR198C,N,306,135,0,5.1,125,30,9,38,32,4,413,-0.25929,0.127349
YDR200C,N,223,306,1,7.47,121,34,35,42,47,12,417,-0.723013,0.039735
YDR201W,Y,223,83,0,4.59,156,15,8,20,17,8,0.49,-0.740606,0.024242
YDR202C,N,183,83,0,6.27,141,18,21,24,24,11,476,-0.204274,0.071225
YDR205W,N,201,533,0,7.76,116,28,16,23,34,12,394,0.337845,0.100829
YDR206W,N,533,303,1,9.75,117,39,52,37,64,32,392,-0.374095,0.106335
YDR207C,N,701,303,0,10.32,145,48,33,31,62,10,0.47,-1.05502,0.047847
YDR208W,Y,701,510,0,10.13,143,53,27,34,61,16,441,-0.799872,0.079589
YDR210W,N,510,13425,0,4.03,0.29,2,21,3,2,1,649,-1.00133,0.12
YDR211W,Y,13425,366,0,4.48,198,69,23,53,45,16,0.5,-0.398736,0.08427
YDR212W,Y,366,839,7,6.45,244,37,16,36,41,13,555,-0.035063,0.035778
YDR213W,N,839,382,2,5.9,123,48,82,51,50,28,428,-0.528587,0.05586
YDR214W,N,382,1106,0,7.52,0.17,15,14,30,36,2,496,-0.5,0.105714
YDR216W,N,1106,544,0,6.71,154,86,37,75,86,29,435,-0.497657,0.09675
YDR217C,N,300,544,0,5.06,121,87,51,120,102,20,415,-0.744691,0.066463
YDR218C,N,402,300,6,5.76,144,39,13,28,37,5,415,-0.663357,0.068558
YDR221W,N,477,615,0,4.6,152,54,26,68,52,10,454,-0.55755,0.089744
YDR222W,N,615,797,2,8.41,185,25,17,20,37,8,493,-0.379277,0.118072
YDR223W,N,797,814,0,4.66,104,46,5,36,34,3,355,-0.817987,0.062099
YDR224C,Y,817,814,1,10.92,658,3,4,8,20,2,829,-0.7,0.053435
YDR225W,N,817,557,1,11.43,654,3,6,5,11,1,824,-0.315909,0.030303
YDR227W,N,416,278,0,9.77,136,77,57,108,158,20,429,-0.883579,0.047128
YDR228C,Y,978,278,0,7.81,169,32,51,40,55,10,492,-0.705272,0.07508
YDR229W,N,978,146,0,4.74,107,39,20,33,31,7,381,-0.874172,0.05298
YDR233C,N,771,371,0,9.64,398,7,22,17,29,3,682,-0.164746,0.098305
YDR234W,N,771,293,3,7.36,0.2,33,25,41,53,9,541,-0.210678,0.067821
YDR235W,Y,293,97,0,8.08,131,26,25,40,54,10,424,-0.314706,0.154412
YDR238C,Y,240,401,0,5.42,218,63,34,73,74,20,535,-0.110997,0.062693
YDR239C,N,253,240,0,6.53,123,58,26,52,63,6,407,-0.912961,0.050826
YDR240C,Y,1654,253,0,10.1,121,19,32,27,37,11,439,-0.555081,0.097561
YDR242W,N,1654,61,0,5.15,134,37,15,30,33,13,446,-0.200911,0.089253
YDR243C,Y,278,61,17,9.36,162,33,26,44,55,13,481,-0.484524,0.068027
YDR244W,N,278,398,1,4.79,114,34,39,54,40,18,403,-0.715686,0.083333
YDR245W,N,398,306,0,6.87,127,22,11,31,25,10,425,-0.614249,0.147583
YDR246W,Y,306,185,0,9.54,125,11,13,9,16,8,457,-0.482192,0.09589
YDR247W,N,679,359,1,6.88,169,29,9,27,39,11,475,-0.386768,0.091106
YDR248C,N,341,359,0,7.17,161,17,3,15,24,6,454,-0.395855,0.082902
YDR249C,N,811,341,0,9.12,115,20,13,19,25,8,373,-0.196515,0.128686
YDR251W,N,811,305,1,8.78,126,41,59,40,53,18,418,-0.620482,0.073494
YDR252W,N,305,128,1,9.2,121,5,11,10,15,4,393,-0.70604,0.040268
YDR253C,N,547,128,1,10.67,122,11,9,11,22,1,389,-0.972775,0.031414
YDR254W,N,547,67,0,9.46,104,26,12,28,40,10,375,-0.311572,0.106987
YDR255C,N,310,67,0,8.26,137,21,17,34,50,9,418,-0.506413,0.099762
YDR256C,N,309,310,1,7.46,159,31,33,23,27,8,451,-0.631456,0.118447
YDR257C,N,333,309,0,4.8,171,30,15,57,44,11,481,-0.41498,0.076923
YDR259C,N,934,387,0,9.36,0.13,18,23,26,25,9,417,-1.0705,0.049608
YDR260C,N,291,934,0,4.96,86,12,8,13,3,5,379,-0.995294,0.094118
YDR261C,N,13924,291,2,5.1,0.15,33,23,27,32,4,457,-0.303203,0.128114
YDR262W,N,13924,289,0,5.15,118,17,10,20,20,4,0.41,-0.346324,0.084559
YDR264C,N,540,494,1,5.53,133,46,21,40,40,14,431,-0.008377,0.112565
YDR265W,N,540,226,0,9.88,138,10,16,21,30,11,457,-0.224926,0.106825
YDR266C,N,486,226,0,9.46,171,31,27,40,60,7,478,-0.84194,0.084507
YDR267C,Y,501,486,0,4.44,134,32,6,27,22,3,463,-0.273333,0.112121
YDR270W,N,531,320,3,4.89,135,51,22,62,60,26,464,0.213446,0.079681
YDR272W,N,320,341,1,6.13,154,20,6,24,25,7,437,-0.658394,0.080292
YDR273W,N,341,978,0,4.59,136,23,10,45,36,3,442,-0.755342,0.046575
YDR275W,N,978,516,0,5.1,116,14,3,19,15,7,0.41,-0.043404,0.085106
YDR276C,N,757,516,0,4.02,338,4,1,0,1,2,608,1.31636,0.127273
YDR277C,N,3665,757,1,9.79,115,21,22,25,27,11,389,-0.666051,0.069284
YDR279W,N,3665,326,0,7.56,126,18,7,24,32,6,394,-0.494571,0.097143
YDR280W,Y,326,342,0,4.83,136,19,10,29,18,8,459,-0.124262,0.062295
YDR281C,N,1189,342,0,4.42,81,6,5,11,6,4,0.38,125,0.086538
YDR282C,N,314,1189,1,6.13,107,27,12,30,30,9,401,-0.414734,0.082126
YDR283C,N,500,314,0,6.31,138,114,65,113,121,37,427,-0.484991,0.092224
YDR284C,N,1016,500,0,6.42,156,17,7,12,7,9,469,0.161938,0.138408
YDR285W,N,1016,167,0,6.81,146,48,57,98,110,16,439,-1.03691,0.036571
YDR286C,N,419,167,0,8.07,134,10,2,8,11,2,436,-0.418421,0.087719
YDR287W,N,419,321,1,5.49,123,11,7,23,18,7,441,-0.132192,0.10274
YDR288W,Y,321,173,0,5.12,122,19,9,26,23,7,416,-0.320132,0.062706
YDR291W,N,218,184,0,6.65,141,62,43,86,76,26,451,-0.337883,0.092851
YDR292C,Y,628,184,0,7.17,149,42,35,33,54,11,438,-0.482931,0.080515
YDR293C,N,1066,628,1,7.67,186,74,67,76,79,16,503,-0.70192,0.0672
YDR294C,N,394,1066,0,8.04,161,29,15,29,40,18,0.47,-0.106791,0.098472
YDR295C,N,564,394,0,9.3,128,39,33,47,68,9,409,-0.705193,0.068249
YDR297W,N,658,575,0,8.95,209,12,12,22,25,14,544,-0.10659,0.154728
YDR299W,Y,812,273,0,4.51,206,48,24,68,52,4,507,-1.03352,0.061798
YDR300C,N,560,273,1,6.75,198,31,14,23,32,10,504,-0.222663,0.053738
YDR301W,Y,560,305,0,5.75,153,90,47,83,90,32,0.46,-0.265144,0.086957
YDR302W,Y,305,338,0,10.19,147,9,4,2,15,4,423,0.43516,0.164384
YDR303C,Y,493,338,1,8.02,154,41,45,53,64,17,461,-0.340565,0.089266
YDR304C,N,188,493,2,5.4,261,16,7,16,16,7,604,-0.282667,0.102222
YDR305C,N,246,188,0,9.92,157,15,12,10,19,4,459,-0.546083,0.087558
YDR306C,N,693,246,0,8.66,124,22,13,28,45,9,419,-0.301883,0.100418
YDR307W,N,693,173,0,6.77,137,31,26,33,36,10,0.45,0.069335,0.166163
YDR308C,Y,598,173,0,4.75,144,13,8,14,14,4,449,-0.506428,0.035714
YDR309C,N,928,598,0,10.28,152,20,16,20,31,5,477,-0.933681,0.070496
YDR310C,N,749,928,0,6.11,134,71,34,79,79,23,439,-0.813748,0.046139
YDR311W,Y,749,587,0,6.89,192,47,26,42,59,18,506,-0.651558,0.05919
YDR312W,N,587,276,1,9.79,0.16,32,22,43,52,12,451,-0.892715,0.039735
YDR313C,N,353,276,0,5.77,0.12,19,13,24,16,4,0.4,-0.704545,0.076923
YDR314C,N,229,353,0,10.25,143,44,28,46,80,15,412,-0.648266,0.109827
YDR315C,N,176,229,0,7.82,119,20,7,10,24,5,379,-0.285053,0.106762
YDR317W,N,7005,329,0,9.75,133,16,10,27,35,8,436,-0.296377,0.113527
YDR318W,N,329,55,0,4.74,132,37,17,34,34,6,409,-0.441848,0.089674
YDR319C,N,267,55,0,8.41,118,5,8,9,13,7,409,0.625912,0.171533
YDR320C,N,178,267,0,5,151,56,15,47,64,14,437,-0.71018,0.070359
YDR321W,N,203,741,4,5.16,221,23,15,19,23,7,535,-0.067192,0.073491
YDR323C,N,405,186,0,8.4,128,31,17,34,44,11,409,-0.527573,0.064078
YDR324C,Y,360,405,0,6.52,169,57,25,45,59,12,475,-0.402835,0.076031
YDR325W,Y,360,375,0,4.61,132,81,36,90,63,18,439,-0.305314,0.068599
YDR326C,N,508,375,1,7.47,146,104,44,68,113,21,424,-0.701321,0.072323
YDR328C,Y,251,508,0,4.19,193,26,3,22,10,5,559,-0.947423,0.056701
YDR329C,N,276,251,0,6.29,98,19,33,30,28,10,408,-0.349887,0.090703
YDR330W,N,276,213,0,4.38,0.16,41,28,48,26,10,478,-0.7212,72
YDR331W,Y,213,177,0,4.84,129,37,11,21,20,11,437,-0.248662,0.119221
YDR332W,N,177,189,0,9.49,118,48,28,35,62,17,396,-0.313062,0.081277
YDR333C,N,500,189,0,5.45,154,56,40,49,50,17,439,-0.583264,0.096819
YDR334W,N,500,690,11,6.17,145,120,72,132,137,24,442,-0.753104,0.07926
YDR335W,N,690,249,0,5.07,154,88,44,83,84,34,443,-0.180229,0.104575
YDR336W,N,249,282,0,10.46,129,15,8,14,35,6,448,-0.350955,0.079618
YDR338C,N,484,199,1,5.07,118,33,19,41,20,15,424,0.156978,0.119424
YDR339C,Y,1282,484,0,10.64,154,11,9,6,24,5,473,-0.371429,0.063492
YDR341C,Y,589,1282,1,6.77,285,34,24,50,51,19,585,-0.318946,0.102142
YDR345C,N,2553,1636,23,7.01,494,19,18,22,24,25,757,0.318695,0.144621
YDR346C,N,518,2553,2,4.26,254,34,11,64,33,9,573,-0.635343,0.097713
YDR348C,N,560,182,0,10.32,146,36,20,23,33,5,436,-1.13146,0.06012
YDR349C,N,2161,560,0,4.63,116,30,17,21,18,11,429,-0.021812,0.098993
YDR351W,N,491,540,1,8.32,111,48,40,58,79,24,381,-0.616898,0.074074
YDR352W,N,540,544,0,4.75,104,11,14,19,8,3,405,0.054574,0.116719
YDR353W,Y,544,488,1,5.8,315,15,8,24,24,9,643,-0.158307,0.068966
YDR354W,N,488,217,0,6.65,142,19,7,22,28,6,478,-45,0.073684
YDR356W,Y,217,257,4,7.08,153,71,40,123,122,16,432,-1.2196,0.043432
YDR357C,N,491,257,0,4.87,136,11,5,10,13,4,424,-0.670492,0.065574
YDR358W,N,491,273,1,5.36,141,41,28,41,50,9,443,-0.57289,0.05386
YDR359C,N,526,273,0,9.78,117,54,69,74,74,20,417,-0.870774,0.058045
YDR361C,Y,415,526,0,4.53,212,29,6,30,26,5,498,-0.692933,0.095406
YDR362C,Y,485,415,0,6.57,0.11,47,13,40,50,8,395,-0.315923,0.08631
YDR363W,N,485,1574,0,4.79,144,40,16,51,46,14,442,-0.91886,0.063596
YDR364C,N,286,445,0,7.2,136,37,16,26,38,3,408,-0.844176,0.103297
YDR365C,Y,6054,286,0,4.99,229,70,17,76,90,12,502,-1.29984,0.068471
YDR367W,Y,11,289,0,8.06,158,8,9,8,13,4,493,0.317647,0.144796
YDR368W,N,289,173,5,7.13,0.26,16,8,21,26,5,583,-0.185897,0.080128
YDR369C,N,201,173,0,8.31,0.14,50,19,65,76,18,0.43,-0.663466,0.067916
YDR370C,N,302,201,0,8.26,121,22,10,30,37,11,399,-0.408597,0.08371
YDR371W,N,302,163,0,8.34,137,30,13,28,43,11,393,-0.478865,0.138943
YDR372C,N,609,163,0,4.85,183,25,7,32,22,10,509,-0.330725,0.066667
YDR373W,Y,609,142,0,4.73,0.15,17,5,15,15,7,436,-0.378947,0.131579
YDR374C,N,771,142,0,9.79,164,16,10,22,25,4,459,-0.816993,0.117647
YDR378C,N,446,432,0,5.85,126,3,2,6,6,3,434,-0.152326,0.081395
YDR379W,N,446,81,1,7.81,116,73,36,63,86,13,0.39,-0.76333,0.047572
YDR380W,N,700,432,4,6.51,0.16,35,24,35,42,14,468,-0.215905,0.102362
YDR381W,Y,432,307,0,11.9,282,11,9,11,22,5,643,-0.951327,0.030973
YDR382W,N,641,135,0,3.89,762,7,2,16,7,2,824,-0.131818,0.045455
YDR383C,N,527,135,0,4.34,107,17,10,32,21,6,392,-0.52563,0.042017
YDR384C,N,1198,527,2,4.42,127,13,6,7,5,8,462,0.365455,0.138182
YDR385W,N,1198,325,6,6.25,0.8,58,32,55,61,23,878,-0.178385,0.074822
YDR386W,N,325,171,0,8.61,118,30,19,59,65,12,0.41,-0.574683,0.077532
YDR387C,N,364,171,14,8.09,123,20,11,18,15,17,449,0.493694,0.115315
YDR388W,N,364,902,0,5.89,177,18,34,35,33,9,516,-0.479876,0.10166
YDR389W,N,902,435,0,10.4,126,35,22,37,44,9,426,-0.864067,0.065749
YDR390C,Y,510,435,0,4.83,151,48,24,43,47,9,453,-0.343396,0.06761
YDR391C,N,639,510,0,6.36,169,13,1,18,18,4,485,-0.399138,0.112069
YDR392W,N,639,191,0,8.16,135,29,17,25,32,12,438,-0.820475,0.062315
YDR394W,Y,409,356,7,5.27,209,31,18,33,26,11,535,-0.291589,0.056075
YDR395W,N,356,207,1,4.44,196,56,42,82,52,23,514,0.011017,0.103814
YDR397C,Y,572,207,0,4.72,113,9,6,19,13,6,479,-0.520548,0.054795
YDR398W,Y,572,665,0,4.66,167,46,26,54,41,8,491,-0.424261,0.069984
YDR399W,N,665,329,1,5.48,286,16,10,18,20,4,617,-0.417647,0.090498
YDR400W,N,329,148,0,5.15,138,24,6,18,21,8,0.44,-0.158529,0.108824
YDR402C,N,898,148,0,9.15,135,22,14,29,36,9,419,-0.092229,0.118609
YDR403W,N,898,441,0,6.51,167,40,14,35,43,8,455,-0.372575,0.11194
YDR404C,Y,476,441,0,7.83,152,9,7,9,13,4,479,-0.009357,0.099415
YDR406W,N,772,269,12,7.87,183,77,60,73,84,42,505,-0.170504,0.124264
YDR407C,Y,276,269,0,7.5,142,66,47,78,95,28,0.46,-0.18495,0.09775
YDR408C,N,546,276,0,6.4,119,10,12,17,17,3,464,-0.106542,0.051402
YDR409W,N,546,251,1,6.91,116,56,36,43,49,16,0.4,-0.780863,0.053097
YDR410C,N,277,251,0,8.03,116,6,5,14,14,4,424,0.333055,0.167364
YDR411C,N,298,277,0,10.44,103,9,13,6,6,9,418,-0.041642,0.134897
YDR412W,Y,298,197,0,10.18,0.16,19,14,27,36,2,0.47,-1.41021,0.068085
YDR414C,N,350,197,0,10.04,108,12,12,16,16,6,416,0.325414,0.154696
YDR415C,N,270,350,0,5.62,143,22,9,27,22,9,456,-0.313369,0.112299
YDR416W,Y,270,604,0,5.02,133,45,31,85,58,17,0.43,-0.366007,0.114086
