orf_id,Essential,paralog_count,CAI,Leu,Ser,Thr,Cys,Trp,orf_size,strand_bias
b0580,N,0,"0,424",22,3,5,2,3,82,0
b0581,N,0,"0,475",35,23,21,7,6,372,0
b0582,N,2,"0,297",47,21,19,5,8,370,1
b0583,N,0,"0,369",18,10,13,5,4,209,0
b0584,N,1,"0,597",54,49,66,2,20,746,0
b0585,N,0,"0,372",38,22,16,5,20,374,1
b0586,N,0,"0,476",160,62,75,13,24,1293,1
b0587,N,1,"0,434",44,30,16,2,4,377,1
b0588,N,2,"0,435",33,11,24,3,4,271,0
b0590,N,1,"0,427",63,24,20,3,3,334,0
b0592,Y,0,"0,428",45,20,20,0,4,318,0
b0593,N,1,"0,504",41,32,23,4,5,391,1
b0594,N,3,"0,523",60,34,25,9,5,536,1
b0595,N,0,"0,584",28,14,10,3,7,285,1
b0596,N,1,"0,529",21,14,17,2,3,248,1
b0597,N,1,"0,443",15,5,12,5,2,137,1
b0598,N,1,"0,594",85,30,40,8,16,701,1
b0599,N,1,"0,499",42,15,21,3,4,362,0
b0600,N,1,"0,46",41,21,21,6,5,386,1
b0601,N,0,"0,433",20,11,11,2,3,209,0
b0602,N,0,"0,379",33,20,16,11,19,406,0
b0603,N,1,"0,288",39,31,13,6,0,300,0
b0604,N,0,"0,386",27,11,15,2,5,268,0
b0605,N,0,"0,853",11,9,14,2,3,187,1
b0606,N,0,"0,682",47,27,32,6,3,531,1
b0607,N,1,"0,481",15,13,4,0,0,142,0
b0608,N,3,"0,433",33,15,15,8,2,412,1
b0610,N,0,"0,51",18,7,6,1,1,136,0
b0611,N,0,"0,468",23,18,13,8,5,268,0
b0612,N,2,"0,522",67,30,29,5,17,487,0
b0613,N,0,"0,391",48,14,22,7,4,292,0
b0614,N,0,"0,379",26,12,7,4,3,183,0
b0615,N,0,"0,688",46,35,26,8,3,510,0
b0616,N,0,"0,657",33,18,12,2,1,307,0
b0617,N,0,"0,509",12,4,4,2,1,98,0
b0618,N,0,"0,465",38,19,30,10,2,381,0
b0619,N,1,"0,416",59,37,19,3,4,552,1
b0620,N,1,"0,362",25,9,15,2,0,226,1
b0621,N,1,"0,516",54,37,27,4,2,461,0
b0622,N,0,"0,473",11,7,11,0,12,186,1
b0624,Y,0,"0,311",20,8,11,1,5,127,0
b0626,N,0,"0,408",23,5,10,3,3,187,1
b0628,N,0,"0,607",26,12,16,8,2,321,0
b0629,N,1,"0,378",33,18,15,3,1,266,0
b0630,N,0,"0,396",23,6,11,3,2,191,0
b0631,N,0,"0,58",8,4,8,0,0,87,0
b0632,N,2,"0,622",37,25,22,2,5,403,0
b0633,N,0,"0,446",23,33,30,4,2,362,0
b0634,Y,1,"0,464",57,20,11,2,8,370,0
b0635,Y,1,"0,573",55,28,38,0,10,633,0
b0636,Y,0,"0,43",19,7,8,1,5,155,0
b0638,N,0,"0,381",23,11,7,3,6,203,0
b0639,N,0,"0,416",28,6,14,2,4,213,0
b0640,Y,0,"0,378",70,14,16,5,7,343,0
b0641,Y,0,"0,51",20,13,19,1,1,193,0
b0642,Y,1,"0,719",65,24,54,11,21,860,0
b0644,N,0,"0,427",22,16,9,5,11,327,0
b0645,N,1,"0,329",25,21,7,7,9,235,1
b0646,N,1,"0,364",63,23,18,10,12,475,1
b0647,N,0,"0,345",19,12,11,1,4,184,0
b0648,N,1,"0,339",26,22,12,5,9,235,1
b0649,N,1,"0,364",61,29,19,11,14,483,1
b0650,N,2,"0,43",60,40,30,5,5,556,0
b0651,N,2,"0,527",34,11,22,3,4,311,0
b0652,Y,13,"0,654",23,12,11,3,1,241,0
b0653,Y,3,"0,474",32,22,11,0,5,224,0
b0654,N,2,"0,502",33,13,13,3,8,246,0
b0655,N,0,"0,638",26,18,15,2,3,302,0
b0656,N,10,"0,433",32,17,18,1,7,338,0
b0658,N,0,"0,603",25,22,10,1,1,292,0
b0659,Y,0,"0,536",18,9,6,2,2,155,0
b0660,N,1,"0,618",33,11,19,2,1,359,0
b0661,N,1,"0,641",37,26,30,6,4,474,0
b0662,N,2,"0,469",47,17,12,3,9,391,1
b0674,N,0,"0,641",47,37,17,8,9,554,0
b0675,N,0,"0,593",18,13,14,3,3,250,0
b0676,N,1,"0,565",43,21,19,8,1,406,0
b0677,N,0,"0,584",39,12,27,8,1,382,0
b0678,N,0,"0,634",24,11,17,4,2,266,0
b0679,N,2,"0,678",65,29,33,5,6,648,1
b0680,Y,0,"0,72",40,28,27,10,8,554,1
b0681,N,0,"0,626",25,31,29,0,15,468,1
b0682,Y,0,"0,512",8,8,4,5,1,108,1
b0683,N,0,"0,592",16,5,7,4,0,148,0
b0684,N,1,"0,696",15,5,9,3,4,176,0
b0685,N,0,"0,467",16,7,5,0,1,120,0
b0686,N,0,"0,523",22,10,5,0,5,254,0
b0687,Y,0,"0,489",15,13,14,2,1,181,1
b0688,N,0,"0,692",44,29,24,5,5,546,1
b0689,N,0,"0,276",16,12,13,7,3,164,1
b0691,N,0,"0,306",12,5,7,1,2,105,0
b0692,N,3,"0,536",39,40,25,6,10,439,0
b0693,N,4,"0,533",72,31,24,18,6,732,0
b0694,N,3,"0,464",31,8,11,0,2,225,0
b0695,N,0,"0,439",115,34,46,6,14,894,0
b0697,N,2,"0,576",74,37,41,6,8,682,0
b0698,N,0,"0,494",84,37,30,6,9,557,0
b0700,N,3,"0,454",129,86,118,19,30,1397,1
b0702,Y,0,"0,169",15,11,3,1,3,108,1
b0703,N,0,"0,374",46,23,35,6,11,477,1
b0704,Y,0,"0,27",18,10,10,4,3,189,1
b0705,N,4,"0,31",22,19,11,5,3,285,1
b0706,N,2,"0,37",18,16,9,5,3,253,1
b0708,Y,0,"0,415",43,23,22,7,15,472,1
b0709,N,3,"0,554",66,31,21,8,12,493,0
b0710,N,0,"0,501",27,10,14,2,7,247,1
b0711,N,0,"0,445",26,12,7,3,5,218,1
b0712,N,0,"0,475",36,14,13,5,7,310,1
b0715,N,0,"0,367",64,20,19,4,8,363,0
b0716,N,1,"0,438",28,29,24,7,3,362,0
b0717,Y,4,"0,366",28,16,17,3,2,242,0
b0718,N,8,"0,469",62,92,47,6,20,818,0
b0720,N,1,"0,697",35,25,28,7,3,427,0
b0721,N,0,"0,437",15,10,7,0,3,129,1
b0722,N,0,"0,587",16,5,7,0,4,115,1
b0723,N,2,"0,703",51,29,33,11,7,588,1
b0724,N,1,"0,483",27,16,6,11,2,238,1
b0725,N,0,"0,32",5,11,8,2,0,86,1
b0726,Y,0,"0,673",83,57,42,10,14,933,1
b0727,Y,0,"0,734",41,24,24,0,1,405,1
b0728,N,0,"0,728",38,8,15,5,3,388,1
b0729,N,0,"0,763",14,11,26,5,0,289,1
b0730,N,1,"0,409",22,15,13,0,3,240,0
b0731,N,1,"0,44",85,37,42,6,10,658,1
b0732,N,0,"0,435",82,51,41,12,16,877,1
b0733,Y,1,"0,648",61,31,29,3,13,523,1
b0734,Y,1,"0,688",45,16,26,3,16,379,1
b0735,N,0,"0,397",15,4,2,3,4,97,1
b0736,Y,0,"0,421",11,5,10,1,1,134,1
b0737,N,1,"0,517",25,15,10,0,3,230,1
b0738,N,0,"0,499",16,10,6,0,0,142,1
b0739,N,0,"0,53",19,22,6,2,1,421,1
b0740,N,0,"0,597",31,39,21,0,8,430,1
b0741,N,0,"0,791",14,14,3,1,0,173,1
b0742,N,0,"0,497",20,26,11,0,2,263,1
b0750,N,0,"0,422",32,16,20,9,4,347,1
b0751,N,0,"0,444",31,17,7,3,9,239,1
b0752,N,0,"0,408",45,17,14,3,7,313,0
b0753,N,0,"0,5",7,7,14,2,0,126,0
b0754,N,2,"0,561",34,18,14,7,4,350,1
b0755,N,0,"0,696",28,11,11,0,7,250,0
b0756,N,0,"0,545",35,23,18,4,5,346,0
b0757,N,0,"0,581",30,19,18,9,1,382,0
b0758,N,0,"0,515",31,19,23,6,10,348,0
b0759,N,0,"0,605",27,19,15,3,5,338,0
b0760,N,0,"0,421",73,35,27,4,7,490,0
b0761,N,0,"0,447",35,16,14,3,3,262,0
b0763,N,0,"0,599",21,16,14,0,4,257,1
b0764,N,0,"0,421",36,16,14,2,6,229,1
b0765,N,1,"0,469",54,22,14,2,6,352,1
b0766,Y,0,"0,525",26,10,20,3,6,272,0
b0767,N,0,"0,573",23,22,18,5,5,331,1
b0768,N,4,"0,298",44,22,17,4,5,338,0
b0769,N,0,"0,426",25,21,24,5,0,350,1
b0770,N,2,"0,551",67,29,28,1,16,477,1
b0771,N,0,"0,572",59,49,44,12,7,761,1
b0772,N,0,"0,598",24,30,31,3,6,427,0
b0773,N,1,"0,549",10,10,10,1,4,158,0
b0774,N,5,"0,537",37,18,22,10,9,429,0
b0775,N,0,"0,524",39,15,24,8,2,346,1
b0776,N,1,"0,473",44,29,14,5,7,384,1
b0777,N,0,"0,391",32,11,12,2,7,251,1
b0778,N,1,"0,4",25,12,20,2,5,225,1
b0779,N,0,"0,529",74,30,34,1,0,673,1
b0780,N,0,"0,404",44,18,14,1,1,302,0
b0781,N,0,"0,54",33,14,21,7,3,329,1
b0782,N,0,"0,58",12,11,13,2,2,170,1
b0783,N,0,"0,582",13,7,11,3,1,161,1
b0784,N,0,"0,57",9,2,6,0,1,81,1
b0785,N,0,"0,6",8,6,9,0,6,150,1
b0786,N,0,"0,428",36,16,19,0,4,234,1
b0787,N,0,"0,253",34,16,11,4,6,237,1
b0788,Y,0,"0,488",52,18,13,5,11,318,0
b0789,N,0,"0,463",42,12,14,2,9,413,0
b0790,N,0,"0,426",24,10,11,3,5,253,0
b0791,Y,0,"0,472",25,5,7,3,6,136,1
b0792,N,2,"0,462",50,22,27,1,9,368,0
b0793,N,1,"0,53",50,25,24,3,7,377,0
b0794,N,1,"0,488",74,30,38,6,4,583,0
b0795,N,0,"0,536",31,15,19,0,4,332,0
b0796,N,0,"0,47",26,8,17,5,3,227,0
b0797,N,3,"0,637",48,19,19,1,1,454,1
b0798,Y,0,"0,41",13,8,6,0,4,160,0
b0799,N,1,"0,453",96,36,28,11,10,716,1
b0800,N,0,"0,496",35,11,17,5,2,320,1
b0801,N,2,"0,514",26,19,18,8,6,361,1
b0803,N,0,"0,45",4,5,2,4,1,88,0
b0804,N,0,"0,441",26,17,13,2,6,237,0
b0805,N,1,"0,529",40,56,83,3,9,760,0
b0806,N,0,"0,412",15,12,9,2,0,134,0
b0807,N,0,"0,457",32,21,12,6,5,335,1
b0808,N,0,"0,455",104,49,55,6,17,786,0
b0809,N,16,"0,639",27,11,7,1,0,240,0
b0810,Y,1,"0,566",29,9,10,0,7,219,0
b0811,N,5,"0,716",23,12,14,0,2,248,0
b0812,N,0,"0,668",19,9,12,0,2,167,0
b0813,N,0,"0,366",53,19,15,2,7,295,0
b0814,N,0,"0,814",7,15,14,1,2,171,1
b0815,N,1,"0,453",53,35,34,4,10,527,0
b0817,Y,0,"0,405",15,6,8,0,1,155,1
b0818,N,0,"0,384",74,19,18,5,13,372,1
b0819,N,3,"0,632",24,10,27,2,2,306,0
b0820,N,5,"0,641",62,34,22,1,6,530,1
b0821,N,0,"0,454",36,21,19,5,13,421,0
b0822,N,1,"0,493",27,15,7,1,1,271,0
b0823,N,3,"0,638",82,40,40,13,10,810,0
b0824,N,1,"0,484",40,9,20,11,3,308,0
b0825,N,1,"0,516",28,13,13,2,1,244,1
b0826,N,1,"0,539",30,12,11,9,0,249,0
b0827,N,0,"0,539",43,25,25,6,4,411,0
b0828,N,0,"0,476",31,16,19,5,1,321,1
b0829,N,5,"0,439",69,35,21,4,3,612,1
b0830,N,6,"0,522",40,30,36,1,11,512,1
b0831,N,5,"0,434",40,18,11,0,9,306,1
b0832,N,5,"0,442",37,15,11,1,8,303,1
b0833,N,4,"0,419",80,49,23,12,8,782,1
b0834,N,0,"0,438",49,33,19,7,1,442,1
b0835,Y,1,"0,641",41,24,16,9,4,441,0
b0836,N,0,"0,368",21,9,4,3,1,127,1
b0837,N,0,"0,443",37,22,14,1,12,371,1
b0838,N,0,"0,44",26,9,8,2,8,210,0
b0839,N,2,"0,548",38,25,29,1,8,400,1
b0840,N,0,"0,498",27,14,12,8,2,252,0
b0841,N,0,"0,399",32,13,6,3,11,198,0
b0842,N,1,"0,441",67,23,16,4,10,410,1
b0843,N,0,"0,463",6,6,4,1,0,94,0
b0844,N,1,"0,497",19,13,7,1,2,262,0
b0845,N,0,"0,446",52,29,25,2,8,402,0
b0846,Y,0,"0,362",17,12,12,1,2,178,1
b0847,N,1,"0,436",81,27,22,7,3,561,0
b0848,N,0,"0,351",18,8,2,6,4,125,1
b0850,Y,0,"0,391",17,7,0,0,0,95,1
b0851,N,0,"0,489",31,15,13,5,4,240,1
b0852,N,0,"0,484",27,15,15,5,1,300,1
b0854,N,1,"0,559",36,20,17,2,8,370,1
b0855,N,13,"0,495",44,19,15,7,2,404,1
b0856,N,2,"0,451",54,16,13,2,10,317,1
b0857,N,1,"0,385",39,18,17,2,8,281,1
b0858,N,0,"0,451",27,15,8,1,5,162,1
b0859,N,0,"0,508",44,17,19,11,6,375,1
b0860,N,4,"0,553",17,13,18,2,2,243,0
b0861,N,2,"0,518",42,15,18,2,4,222,0
b0862,N,2,"0,497",38,17,12,2,7,238,0
b0863,N,5,"0,688",18,10,21,2,2,243,0
b0864,N,12,"0,583",31,13,14,4,1,242,0
b0865,Y,0,"0,442",19,14,13,4,2,171,0
b0866,Y,0,"0,53",6,6,8,1,0,107,1
b0867,Y,0,"0,489",25,8,11,1,7,276,1
b0868,Y,0,"0,51",34,24,19,4,7,349,0
b0869,N,0,"0,442",59,24,20,2,13,486,0
b0870,N,0,"0,515",35,12,15,4,4,333,0
b0871,N,4,"0,518",55,33,23,10,5,572,0
b0872,N,0,"0,558",26,16,30,11,7,322,0
b0873,N,0,"0,653",66,23,32,14,7,552,0
b0874,N,0,"0,389",60,22,10,5,5,315,0
b0875,N,0,"0,574",26,12,11,2,5,231,0
b0876,N,0,"0,394",73,36,19,5,10,552,1
b0877,N,0,"0,407",41,22,16,7,5,330,0
b0878,N,0,"0,461",40,9,29,0,2,380,1
b0879,N,0,"0,436",75,37,37,3,8,648,1
b0881,Y,0,"0,433",10,2,6,2,1,106,1
b0882,N,2,"0,571",78,42,38,3,3,758,1
b0885,N,0,"0,369",26,17,6,6,7,234,0
b0886,Y,4,"0,391",99,34,36,2,7,573,0
b0887,Y,4,"0,403",90,38,24,1,13,588,0
b0888,N,0,"0,623",29,13,25,4,1,321,0
b0889,N,0,"0,412",23,8,9,2,0,164,1
b0891,N,0,"0,582",14,19,15,1,6,204,1
b0892,N,0,"0,498",38,20,22,3,4,447,1
b0893,Y,0,"0,659",46,18,22,5,3,430,1
b0894,N,6,"0,589",52,43,46,15,13,785,1
b0895,N,3,"0,626",9,8,12,16,2,205,1
b0896,N,1,"0,471",46,21,9,3,11,287,1
b0897,Y,0,"0,427",22,8,16,2,4,208,0
b0898,N,0,"0,4",65,31,20,5,10,382,1
b0899,N,2,"0,443",65,22,34,8,13,540,1
b0900,N,6,"0,392",31,18,15,6,2,302,0
b0901,N,0,"0,348",20,11,6,2,7,196,1
b0902,N,0,"0,637",19,8,13,6,5,246,0
b0903,N,3,"0,833",62,36,48,5,7,760,0
b0904,N,1,"0,501",33,13,19,5,7,285,0
b0905,N,0,"0,59",63,33,29,7,12,589,0
b0906,N,0,"0,403",31,11,9,5,3,230,1
b0907,N,0,"0,558",30,20,12,4,5,362,1
b0908,N,0,"0,516",48,22,34,6,2,427,1
b0909,N,1,"0,556",21,27,13,3,1,262,1
b0910,Y,0,"0,478",28,12,8,1,1,227,1
b0912,N,0,"0,445",7,5,6,0,0,94,1
b0913,N,0,"0,29",109,46,40,16,41,780,1
b0914,Y,4,"0,571",60,50,36,2,5,582,1
b0915,Y,0,"0,452",38,16,14,5,9,328,1
b0916,N,0,"0,419",51,18,17,5,15,410,1
b0918,Y,0,"0,572",16,7,11,2,3,248,1
b0919,N,0,"0,352",42,18,15,5,13,297,1
b0920,N,0,"0,412",38,18,13,0,10,259,0
b0921,N,0,"0,478",27,9,10,4,5,261,1
b0922,Y,0,"0,55",50,23,20,1,7,440,1
b0923,Y,0,"0,533",32,14,7,1,1,225,1
b0924,Y,0,"0,62",177,98,56,10,8,1486,1
b0925,N,0,"0,427",63,36,34,4,13,615,1
b0926,Y,0,"0,414",20,10,9,0,1,182,1
b0927,N,0,"0,496",26,10,9,4,4,215,1
b0928,N,1,"0,619",38,21,22,5,5,396,0
b0929,N,4,"0,749",23,16,22,0,2,362,0
b0930,Y,0,"0,661",36,24,23,4,7,466,0
b0931,N,0,"0,498",46,26,16,5,8,400,0
b0932,N,0,"0,606",93,41,50,8,13,870,1
b0933,N,8,"0,376",44,9,13,0,4,255,0
b0934,N,1,"0,4",46,22,11,0,13,278,0
b0935,N,0,"0,446",41,18,17,1,6,381,0
b0936,N,0,"0,465",38,20,16,2,4,333,0
b0937,N,0,"0,457",32,10,11,0,2,191,0
b0938,N,0,"0,415",9,10,31,3,0,182,1
b0939,N,6,"0,333",22,20,22,4,3,233,1
b0940,N,8,"0,4",77,84,56,4,14,866,1
b0941,N,0,"0,341",27,26,27,10,5,356,1
b0942,N,0,"0,384",17,9,16,3,0,180,1
b0943,N,0,"0,329",20,20,12,3,3,187,1
b0944,N,0,"0,324",31,19,16,2,7,245,1
b0945,N,0,"0,471",36,12,16,4,0,336,1
b0946,N,0,"0,429",21,10,2,5,5,192,1
b0947,N,0,"0,431",28,20,23,9,6,369,0
b0948,N,0,"0,587",84,36,37,8,14,702,1
b0949,N,4,"0,553",84,28,23,4,7,635,1
b0950,N,1,"0,381",61,27,19,15,11,417,1
b0951,N,0,"0,479",60,37,33,0,5,546,1
b0952,N,0,"0,459",20,13,11,1,6,182,1
b0954,Y,0,"0,691",20,4,8,2,3,172,0
b0955,N,0,"0,45",68,37,28,7,14,586,0
b0956,N,0,"0,447",18,7,5,0,4,150,1
b0957,N,0,"0,817",23,16,23,2,5,346,0
b0958,N,0,"0,343",21,21,11,1,4,169,0
b0959,N,0,"0,349",30,16,10,4,4,209,1
b0960,N,0,"0,413",114,34,38,12,14,720,0
b0961,N,0,"0,494",20,5,11,3,6,148,0
b0962,N,0,"0,447",78,36,27,5,19,684,1
b0963,Y,0,"0,476",18,5,10,1,3,155,0
b0964,N,0,"0,427",31,19,17,1,2,220,0
b0965,Y,0,"0,46",19,10,8,2,2,164,1
b0966,N,0,"0,467",14,10,4,0,2,122,0
b0967,N,0,"0,571",40,23,14,6,4,367,0
b0968,N,0,"0,412",7,6,4,2,2,92,1
b0970,N,0,"0,593",35,22,19,2,0,219,0
b0972,Y,1,"0,528",20,21,23,14,7,372,1
b0973,N,1,"0,58",48,27,28,12,16,597,1
b0974,Y,0,"0,527",16,18,8,1,11,235,1
b0975,Y,0,"0,437",28,11,4,2,3,195,1
b0976,N,0,"0,414",14,8,7,0,5,132,1
b0977,N,0,"0,387",44,17,12,8,4,285,1
b0978,N,1,"0,464",67,25,29,1,18,514,1
b0979,N,1,"0,426",64,21,15,5,17,378,1
b0980,N,1,"0,367",58,28,34,8,8,432,1
b0981,N,1,"0,507",86,51,42,0,5,726,0
b0982,N,1,"0,44",14,9,5,2,2,152,0
b0983,N,1,"0,487",36,19,29,1,6,379,0
b0984,N,1,"0,504",62,49,39,5,13,698,0
b0985,N,1,"0,406",29,12,16,0,6,248,0
b0986,N,1,"0,357",25,17,16,2,6,214,0
b0987,Y,0,"0,47",4,5,30,0,0,107,0
b0988,Y,5,"0,376",17,13,6,1,5,167,1
b0992,N,0,"0,358",49,21,21,13,12,357,0
b0993,N,4,"0,445",130,61,49,7,7,904,0
b0994,N,0,"0,412",40,23,10,2,7,342,1
b0995,Y,8,"0,434",32,10,14,3,1,230,0
b0996,N,1,"0,558",24,26,21,10,9,390,1
b0997,N,5,"0,564",65,44,42,10,20,848,1
b0998,Y,0,"0,446",32,11,12,4,4,199,1
b0999,Y,0,"0,516",12,2,8,1,2,101,0
b1000,N,1,"0,57",23,13,14,0,6,306,0
b1001,N,0,"0,303",43,33,19,10,4,418,1
b1002,N,1,"0,534",38,27,23,6,6,413,1
b1004,N,0,"0,563",13,12,19,0,2,198,0
b1006,N,3,"0,423",56,26,28,4,5,464,0
b1007,N,0,"0,457",12,10,14,8,3,152,0
b1008,N,0,"0,439",23,19,16,3,4,196,0
b1009,N,0,"0,427",38,15,7,6,4,266,0
b1010,Y,0,"0,554",7,5,9,2,1,128,0
b1011,Y,0,"0,498",20,14,19,3,4,244,0
b1012,N,0,"0,5",27,21,29,4,7,382,0
b1013,N,0,"0,484",25,11,11,1,3,212,1
b1014,N,0,"0,553",156,70,66,13,12,1320,0
b1015,N,2,"0,536",59,38,21,5,15,502,1
b1018,N,0,"0,592",36,15,27,2,2,375,1
b1019,N,0,"0,432",49,23,22,4,4,423,1
b1020,N,1,"0,405",27,23,17,9,1,354,1
b1021,N,0,"0,309",19,8,8,0,3,137,0
b1022,N,0,"0,389",46,20,24,10,18,441,0
b1023,N,0,"0,345",61,40,27,1,20,672,0
b1024,N,0,"0,371",78,50,41,1,27,807,0
b1025,N,1,"0,308",47,31,26,8,6,452,1
b1026,N,5,"0,41",21,22,11,11,9,288,0
b1027,Y,4,"0,48",11,10,8,0,1,102,0
b1028,N,0,"0,369",11,7,6,1,1,107,1
b1029,N,0,"0,324",55,22,13,7,11,328,1
b1033,Y,0,"0,39",34,20,12,3,10,325,1
b1034,Y,0,"0,459",16,15,9,3,3,245,1
b1035,N,0,"0,46",26,12,12,4,6,184,1
b1036,Y,0,"0,457",25,14,8,5,6,179,1
b1037,N,0,"0,45",29,20,16,2,2,277,0
b1038,N,0,"0,392",13,11,11,0,1,138,0
b1039,Y,0,"0,315",13,7,10,0,4,129,0
b1040,N,0,"0,36",29,18,13,1,3,216,0
b1041,N,0,"0,351",10,13,8,0,0,151,1
b1042,N,0,"0,667",9,14,9,0,1,151,1
b1043,N,0,"0,247",16,16,11,2,1,110,1
b1045,N,0,"0,426",16,6,10,3,1,177,1
b1046,N,0,"0,345",62,35,22,3,10,493,1
b1047,N,0,"0,362",56,25,19,4,12,385,0
b1048,N,1,"0,549",37,33,34,0,12,511,1
b1049,N,0,"0,514",105,54,38,10,32,847,1
b1051,Y,0,"0,444",8,2,4,1,4,125,0
b1053,N,0,"0,353",64,31,19,4,7,408,0
b1054,N,2,"0,481",33,10,14,5,12,306,0
b1055,N,0,"0,49",24,13,11,14,3,350,1
b1056,N,0,"0,566",16,11,17,0,2,191,0
b1057,N,0,"0,412",24,16,7,0,7,188,0
b1059,N,0,"0,48",32,18,17,6,6,372,0
b1060,N,0,"0,416",7,5,7,0,2,84,0
b1061,N,0,"0,45",5,7,4,0,2,81,0
b1062,N,0,"0,492",33,15,25,6,2,348,0
b1063,N,0,"0,484",22,7,12,1,0,186,0
b1064,N,0,"0,475",28,12,6,2,2,215,0
b1065,N,0,"0,465",61,23,13,5,11,412,0
b1066,N,0,"0,448",17,8,8,2,6,194,1
b1067,N,0,"0,498",27,12,12,3,0,215,1
b1068,N,0,"0,456",34,20,19,6,8,307,1
b1069,Y,0,"0,471",82,35,23,2,9,511,1
b1070,N,0,"0,383",17,9,11,0,3,138,0
b1071,N,0,"0,488",9,11,11,0,0,97,0
b1072,N,0,"0,34",25,17,7,2,2,219,0
b1073,N,0,"0,462",15,9,9,0,0,138,1
b1074,N,0,"0,511",11,9,7,0,0,134,1
b1075,N,0,"0,506",22,24,36,0,1,231,1
b1076,N,0,"0,55",30,35,43,0,2,402,1
b1077,N,0,"0,463",20,19,21,0,1,251,1
b1078,N,0,"0,527",23,21,24,0,1,260,1
b1079,N,0,"0,508",16,21,18,1,2,232,1
b1080,N,0,"0,43",38,32,31,2,0,365,1
b1081,N,0,"0,505",30,26,16,0,3,313,1
b1082,N,0,"0,514",47,48,48,0,2,547,1
b1084,Y,0,"0,632",65,53,51,4,4,1061,0
b1085,Y,0,"0,36",8,15,11,8,1,124,1
b1086,N,2,"0,494",34,15,15,2,1,319,1
b1087,N,1,"0,41",29,13,10,4,1,207,0
b1088,N,0,"0,504",15,10,8,5,0,173,1
b1090,N,0,"0,334",49,25,16,4,3,346,1
b1091,Y,0,"0,567",26,19,25,5,3,317,1
b1092,Y,0,"0,623",26,14,16,5,4,309,1
b1093,Y,10,"0,607",18,14,14,0,1,244,1
b1095,N,1,"0,624",29,32,23,4,2,413,1
b1096,N,0,"0,359",33,20,12,10,3,269,1
b1097,N,0,"0,476",42,13,25,0,7,340,1
b1098,Y,0,"0,524",23,6,18,0,2,213,1
b1099,Y,0,"0,395",56,14,17,7,8,334,1
b1100,N,1,"0,506",30,9,14,5,0,265,1
b1101,N,2,"0,71",44,28,20,3,6,477,1
b1102,N,2,"0,493",50,58,67,1,15,729,0
b1103,N,0,"0,518",10,4,6,0,0,119,1
b1104,N,0,"0,32",18,14,5,2,1,125,1
b1105,N,0,"0,467",18,16,13,1,2,213,1
b1106,N,0,"0,311",39,11,11,1,12,274,1
b1107,N,0,"0,512",29,25,9,3,4,341,1
b1108,Y,0,"0,422",19,8,7,5,2,199,1
b1109,N,0,"0,576",52,20,26,4,2,434,1
b1110,N,0,"0,518",10,8,14,2,0,179,1
b1111,N,0,"0,429",22,14,17,8,2,236,0
b1112,N,0,"0,471",6,9,8,0,0,85,1
b1113,N,3,"0,498",30,15,23,1,3,320,0
b1114,N,0,"0,526",140,47,58,7,10,1148,0
b1115,N,0,"0,432",58,31,18,7,14,357,0
b1116,Y,1,"0,459",53,23,16,0,6,399,1
b1117,Y,20,"0,596",35,17,9,2,0,228,1
b1118,Y,1,"0,483",49,29,10,2,9,414,1
b1119,N,1,"0,457",35,9,13,7,3,303,1
b1120,N,0,"0,467",28,11,9,4,3,279,1
b1121,N,0,"0,281",39,15,21,2,3,262,0
b1122,N,0,"0,394",8,18,6,0,5,156,0
b1123,Y,1,"0,631",31,18,19,0,9,348,0
b1124,Y,2,"0,53",38,24,15,1,4,264,0
b1125,N,2,"0,512",55,12,15,2,6,275,0
b1126,N,11,"0,518",40,15,17,3,2,378,0
b1127,N,0,"0,541",36,14,20,4,2,408,1
b1128,Y,0,"0,527",41,18,6,1,9,376,0
b1129,N,0,"0,401",68,37,25,2,9,486,0
b1130,N,10,"0,464",28,13,8,0,2,223,0
b1131,N,0,"0,669",45,23,22,2,7,456,0
b1132,N,0,"0,48",35,17,12,2,1,213,0
b1133,Y,0,"0,619",34,14,19,7,5,383,0
b1134,N,0,"0,497",12,7,7,5,5,153,0
b1135,N,0,"0,403",21,8,16,0,4,207,0
b1136,N,0,"0,707",31,13,18,6,6,416,1
b1137,N,0,"0,263",20,22,8,6,1,221,0
b1140,N,0,"0,3",35,23,22,1,7,375,0
b1141,N,0,"0,243",12,6,4,1,2,81,0
b1142,N,0,"0,295",10,6,9,3,0,103,0
b1143,Y,0,"0,381",13,12,7,6,1,128,1
b1144,Y,0,"0,328",12,1,7,2,0,94,0
b1145,Y,0,"0,332",10,12,18,5,4,224,0
b1146,Y,0,"0,386",13,15,11,4,2,167,1
b1147,N,0,"0,488",14,12,5,3,4,189,1
b1148,N,0,"0,376",6,14,8,3,1,112,1
b1149,N,0,"0,512",32,29,28,7,10,455,1
b1151,N,0,"0,372",17,10,9,7,2,157,1
b1152,N,0,"0,464",20,19,24,1,7,263,1
b1153,N,0,"0,503",19,10,18,8,6,194,1
b1154,N,1,"0,385",17,11,18,3,3,209,1
b1155,N,1,"0,409",12,9,6,3,4,137,1
b1156,N,2,"0,474",13,14,20,3,4,200,0
b1157,N,0,"0,355",10,10,13,2,4,179,0
b1158,N,2,"0,308",21,9,13,2,2,184,1
b1159,N,0,"0,27",26,24,7,7,3,277,1
b1160,Y,0,"0,246",7,10,6,5,4,107,0
b1161,Y,2,"0,33",13,6,10,2,2,134,0
